title,channel_title,category_name,region,days_in_trending
Maroon 5 - Wait,Maroon5VEVO,Music,GB,40
To Our Daughter,Kylie Jenner,People & Blogs,GB,38
Justin Timberlake’s FULL Pepsi Super Bowl LII Halftime Show! | NFL Highlights,NFL,Sports,GB,38
Jurassic World: Fallen Kingdom - Official Trailer #2 [HD],Universal Pictures,Entertainment,GB,38
Incredibles 2 - Olympics Sneak Peek,Disney•Pixar,Film & Animation,GB,37
Fergie Performs The U.S. National Anthem / 2018 NBA All-Star Game,MLG Highlights,Sports,GB,37
"Whethan, Dua Lipa - High (Audio)",FiftyShadesVEVO,Music,GB,37
VENOM - Official Teaser Trailer (HD),Sony Pictures Entertainment,Entertainment,GB,37
Rich Brian - Cold (Official Music Video),88rising,Entertainment,GB,37
Janelle Monáe – Make Me Feel [Official Music Video],Janelle Monáe,Music,GB,37
